origin,destination,distance_meters,duration_minutes,cost
"28.705900,115.881823","28.604789,115.916642",16440,25,61
"28.705900,115.881823","28.673856,115.904477",5870,9,23
"28.705900,115.881823","28.660962,115.899890",7420,11,28
"28.705900,115.881823","28.604789,115.916642",16440,25,61
"28.705900,115.881823","28.674670,115.889435",4970,7,21
"28.705900,115.881823","28.656317,115.801325",13430,20,49
"28.705900,115.881823","28.681531,115.894609",4180,6,18
"28.705900,115.881823","28.678562,115.897626",4770,7,20
"28.705900,115.881823","28.951573,115.966089",39930,60,155
"28.705900,115.881823","28.678848,115.883719",4220,6,18
"28.705900,115.881823","28.678785,115.886451",4270,6,18
"28.705900,115.881823","28.678026,115.886839",4390,7,19
"28.705900,115.881823","28.704138,115.880581",320,5,0
"28.705900,115.881823","28.702944,115.882016",460,6,0
"28.705900,115.881823","28.709715,115.880360",630,8,0
"28.705900,115.881823","28.701301,115.879440",790,9,0
"28.705900,115.881823","28.700795,115.878631",910,11,0
"28.705900,115.881823","28.700706,115.878777",910,11,0
"28.705900,115.881823","28.703468,115.874768",1040,12,0
"28.705900,115.881823","28.698989,115.876357",1310,16,0
"28.705900,115.881823","28.716479,115.880720",1650,20,0
"28.705900,115.881823","28.716122,115.877511",1700,20,0
"28.705900,115.881823","28.607862,115.912846",15840,24,59
"28.705900,115.881823","28.602499,115.911372",16600,25,62
"28.705900,115.881823","28.606961,115.928080",16650,25,62
"28.705900,115.881823","28.613977,115.907696",14740,22,55
"28.705900,115.881823","28.607440,115.930285",16700,25,62
"28.705900,115.881823","28.617213,115.913810",14480,22,54
"28.705900,115.881823","28.607537,115.932403",16800,25,63
"28.705900,115.881823","28.603836,115.933579",17390,26,65
"28.705900,115.881823","28.621357,115.921621",14240,21,53
"28.705900,115.881823","28.607937,115.934335",16850,25,63
"28.705900,115.881823","28.673696,115.887108",5060,8,21
"28.705900,115.881823","28.674621,115.887100",4920,7,20
"28.705900,115.881823","28.673802,115.886297",5030,8,21
"28.705900,115.881823","28.672945,115.886539",5170,8,21
"28.705900,115.881823","28.673557,115.884538",5050,8,21
"28.705900,115.881823","28.675246,115.890008",4900,7,20
"28.705900,115.881823","28.673066,115.890280",5240,8,21
"28.705900,115.881823","28.673815,115.891090",5150,8,21
"28.705900,115.881823","28.675008,115.891432",4980,7,21
