city,name,address,latitude,longitude,decoration_time,hotel_star,price,score,brand
Chengdu,Home Inn - Chengdu Chunxi Taisheng North Road Branch,"No. 9, Da'an Middle Road, Qingyang District, Chengdu, Sichuan Province (near Wenshu Monastery business district)",30.672610,104.082869,2018,2,100,4.2,Home Inn
Chengdu,Chengdu Taihe International Grand Hotel (Chunxi Road Taikoo Li Branch),"No. 15, Binjiang Middle Road",30.647345,104.068740,2014,5,356,4.7,
Chengdu,Chengdu New Exhibition Zhangjiasi Metro Station Atour Hotel,"No. 11, Zhonghe 2nd Street, High-Tech Zone, Chengdu",30.547299,104.090108,2022,4,376,4.4,Atour Hotel
Chengdu,Hanting Hotel (Chengdu Wenshu Monastery Metro Station Branch),"No. 29, Luoyang Road, Qingyang District, Chengdu",30.673888,104.067744,2020,2,296,4.9,Hanting Hotel
Chengdu,Hanting Hotel Chengdu Longquanyi Dong'an Lake,"No. 300, Anyi Street, Dong'an Subdistrict, Longquanyi District, Chengdu, Sichuan Province, Building 11, Floor 1, Unit 12",30.574098,104.246914,2020,3,238,4.8,Hanting Hotel
Chengdu,Hanting Hotel (Chengdu Taikoo Li Chunxi Road Pedestrian Street Branch),"No. 69, Qingnian Road, Jinjiang District, Chengdu",30.657104,104.071766,2025,3,335,4.5,Hanting Hotel
Chengdu,Home Inn · Neo - Chengdu Chunxi Road Taikoo Li Shuyuan Street Branch,"No. 75, West Shuyuan Street, Jinjiang District, Chengdu",30.657916,104.085323,2019,2,322,4.8,Home Inn
Chengdu,Jinjiang Inn Chengdu Du Fu Thatched Cottage Hotel,"No. 17, Baihua West Road (opposite Fanglin Road, Section 1, West 1st Ring Road)",30.655413,104.038312,2019,2,159,4.2,Jinjiang Inn
Chengdu,Chengdu Qiya Shang International Hotel (Kuanzhai Alley Branch),"No. 18, Jinyu Street, Jinniu District, Chengdu",30.682246,104.040873,2017,5,323,4.8,
Chengdu,Vienna International Hotel (Version 5.0 Chengdu Chunxi Road Taikoo Li Branch),"No. 92, Yusha Road, Jinjiang District, Chengdu",30.665621,104.082409,2020,3,334,4.7,
Chengdu,Chengdu Zen Inn · Jincheng Courtyard,"Building 3, No. 42, Shuxi Road, High-Tech Industrial Park",30.714246,103.991585,2019,5,377,3.9,
Chengdu,Chengdu Chunxi Road Taisheng South Road Metro Station Atour Hotel,"No. 52, East Yulong Street, Jinjiang District, Chengdu",30.664720,104.080344,2023,4,466,4.3,Atour Hotel
