restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Dingyuan Buffet Restaurant,Zhengzhou,34.786308,113.672932,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,2.5
Enjoy House Tea Restaurant (Century Star Building Branch),Zhengzhou,34.786292,113.671079,100.0,Fast Food Restaurant;Tea Restaurant,17:00,21:30,Henan Museum,"113.672097,34.788263",34.788263,113.672097,3.8
Century Star Garden Restaurant,Zhengzhou,34.786256,113.671176,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.1
Gourmet Restaurant (Zhengzhou Times International Plaza Building 70 Branch),Zhengzhou,34.786608,113.670287,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,3.5
Agricultural University Jia Yuan Faculty Restaurant (No. 52 Wenhua Road Branch),Zhengzhou,34.785268,113.668041,100.0,Chinese Restaurant;Chinese Restaurant,06:00,22:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,3.9
Agricultural University Home Faculty Canteen,Zhengzhou,34.784879,113.666814,100.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.0
Mao Zhangzhang Oil-Braised Skewers (Guomao 360 Branch),Zhengzhou,34.783597,113.675687,100.0,Food Service Related;Food Service Related,11:00,23:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.7
Hongyan RED SALT Modern Indian-Pakistani Restaurant,Zhengzhou,34.793421,113.677088,69.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.5
Wentong Ice Room (Guomao 360 Branch),Zhengzhou,34.784943,113.679565,39.0,Cold Beverage Shop;Cold Beverage Shop,10:30,22:00,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.7
Wanda Vista Hotel Pinzhen Chinese Restaurant,Zhengzhou,34.792621,113.678848,246.0,Food Service Related;Food Service Related,17:30,21:30,Henan Museum,"113.672097,34.788263",34.788263,113.672097,4.4
Daobendao Unmanned Restaurant (Shenglong City Branch),Zhengzhou,34.721237,113.632227,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.5
Music Dining Bar,Zhengzhou,34.725040,113.629748,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.5
Little Lotus Restaurant,Zhengzhou,34.721666,113.636146,100.0,Chinese Restaurant;Chinese Restaurant,08:00,22:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.9
Zanbala Flower Market Second Floor Restaurant,Zhengzhou,34.726575,113.626975,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.6
Kunlun Leju Business Hotel Chinese Restaurant (Huaihe Road Branch),Zhengzhou,34.729111,113.631083,155.0,Food Service Related;Food Service Related,11:00,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,4.1
Mipi Ji Halal Restaurant (Huainan Street),Zhengzhou,34.728594,113.636312,11.0,Chinese Restaurant;Halal Restaurant,10:00,22:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,4.3
Zhengzhou Second People's Hospital Main Campus Nutrition Restaurant (Lianxinli Branch),Zhengzhou,34.721965,113.639981,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.9
Crash Bar Music Restaurant,Zhengzhou,34.726061,113.640451,100.0,Entertainment Venue;Bar,11:00,21:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,3.9
Huashang Music Restaurant & Bar,Zhengzhou,34.717961,113.626270,29.0,Chinese Restaurant;Chinese Restaurant,16:00,02:00,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,4.8
Suyi Xiang Vegetarian Buffet Restaurant,Zhengzhou,34.725310,113.641557,24.0,Food Service Related;Food Service Related,17:30,19:30,Zhengzhou Museum (Songshan Road Branch),"113.632600,34.723400",34.723400,113.632600,4.4
Xiaozhiwei Restaurant,Zhengzhou,34.740996,113.539988,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,3.6
Zhengzhou Olympic Sports Jianguo Hotel - Seafood Buffet Restaurant,Zhengzhou,34.739770,113.537534,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,4.0
Zhengdi Olympic Sports Jianguo Hotel All-Day Dining Restaurant,Zhengzhou,34.740659,113.537609,100.0,Food Service Related;Food Service Related,17:30,21:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,4.2
Jiugu Restaurant,Zhengzhou,34.739579,113.561973,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,3.6
Peony Restaurant (Yi'er Hotel Management Company),Zhengzhou,34.739995,113.562140,100.0,Chinese Restaurant;Chinese Restaurant,07:30,15:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,4.1
M Art Restaurant Qide Sheng · Beef Noodles,Zhengzhou,34.739800,113.563173,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,4.0
Waku No. 50 (Kaixuan Road Branch),Zhengzhou,34.740377,113.563327,100.0,Food Service Related;Food Service Related,09:00,23:00,Zhengzhou Museum New Branch,"113.546720,34.739600",34.739600,113.546720,4.7
Ginkgo Tree Seafood Restaurant (Jinshui Road Branch),Zhengzhou,34.763326,113.684358,100.0,Chinese Restaurant;Seafood Restaurant,17:00,22:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,4.6
Government Office Canteen Fast Food Section,Zhengzhou,34.764882,113.689757,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Zijing Mountain Park,"113.687708,34.761890",34.761890,113.687708,3.8
