poi_name,latitude,longitude,address,poi_type
Hongya Cave Folk Custom Scenic Area,29.562204,106.579027,,attraction
Huguang Guild Hall,29.557921,106.586915,,attraction
Chongqing China Three Gorges Museum,29.562014,106.550513,,attraction
Mountain City Trail · Jianxingpo Grand Stairway,29.551340,106.548454,,attraction
Nanshan One Tree Scenic Area,29.545316,106.602505,,attraction
Liziba Monorail Station,29.553340,106.538016,,attraction
Chongqing Two Rivers Night Cruise,29.560000,106.580000,,attraction
Bayi Road Food Street,29.556310,106.577448,,attraction
Chongqing Art Museum,29.560017,106.576909,,attraction
Chongqing Shibati Traditional Scenic Area,29.551015,106.573042,,attraction
Beibuyuan Old Hotpot (Hongyadong Branch),29.561089,106.578870,,restaurant
Guaxixi Hotpot (Hongyadong Branch),29.561056,106.579061,,restaurant
Today Tipsy Tavern (Hongyadong Branch),29.561251,106.578230,,restaurant
Yang Ji Long Fu Chongqing Jianghu Cuisine (Jiefangbei Flagship Store),29.561053,106.578091,,restaurant
Gumu Maple Old Hot Pot (Hongyadong Branch),29.560770,106.579150,,restaurant
Lianjie Hot Pot (Hongyadong Branch),29.561313,106.580333,,restaurant
Ding Niang Niang Hot Pot (Hongyadong Branch),29.562602,106.580798,,restaurant
Grandma Chen's Hotpot,29.561436,106.577164,,restaurant
Beibu Garden Old Hotpot (Hongyadong Daijia Lane Branch),29.561223,106.577220,,restaurant
Pei Jie Old Hotpot (Hongyadong Branch),29.561384,106.581577,,restaurant
Hidden Here Garden Restaurant (Chongbai Building Branch),29.556809,106.576425,,restaurant
Goose Crown (Jiefangbei Yingli Branch),29.555982,106.575355,,restaurant
Yingli Grand City Restaurant (Yingli International Financial Center Branch),29.555697,106.575618,,restaurant
New Fun Restaurant (Guotai Branch),29.558893,106.576121,,restaurant
Guangzhou Chaoren Tea Restaurant (Guotai Plaza Branch),29.559065,106.576152,,restaurant
Bob Burger,29.550482,106.595027,,restaurant
Fan Jianghu · Jianghu Cuisine (Huguang Guild Hall Branch),29.557397,106.587080,,restaurant
99 Tofu Pudding House (Jiefangbei Pedestrian Street Branch),29.559132,106.584040,,restaurant
Xiaoju Family Cuisine,29.555101,106.585600,,restaurant
SPEAKEASY Garden Restaurant,29.557825,106.582875,,restaurant
Old Pier Restaurant Chongqing Noodles Specialty Jianghu Cuisine,29.562890,106.587738,,restaurant
Mr. Rice (Raffles City Restaurant),29.562981,106.585820,,restaurant
Luming Cloud Restaurant,29.563207,106.586046,,restaurant
Raffles Second Restaurant (Chongqing Raffles City Branch),29.563225,106.588275,,restaurant
Xu Sheng Ji Lou Wai Xiang Chinese Restaurant (Jiefangbei Fosun International Branch),29.560375,106.581225,,restaurant
Fumanjia Hotpot,29.548696,106.573429,,restaurant
Liziba Liangshan Chicken (Park Branch),29.551647,106.535731,,restaurant
Chongqing Hidden Eeling Art Museum Hotel · Hidden Scenic View Restaurant,29.550875,106.538693,,restaurant
Erchang Old Hotpot (Cultural and Creative Park Branch),29.550769,106.540372,,restaurant
Liao Ji Restaurant (Healthy New Residence Branch),29.552250,106.541818,,restaurant
Xile Restaurant (Changjiang First Road),29.551440,106.543603,,restaurant
Wang's Restaurant (Eling Main Street),29.548097,106.536410,,restaurant
Si Mei Restaurant (Eling Mountain Villa Branch),29.548024,106.536141,,restaurant
Dongyun Restaurant,29.551409,106.544207,,restaurant
Hongyun Restaurant (Lianglukou Branch),29.551409,106.544207,,restaurant
Juan Juan Restaurant (Lianglukou Branch),29.551413,106.544232,,restaurant
Heyu Japanese Cuisine,29.573221,106.533461,,restaurant
Haokelai Steak (Chongqing Guanyinqiao Yingjia Restaurant),29.572855,106.533791,,restaurant
People's Restaurant (Zengjiayan Tunnel Branch),29.560680,106.551088,,restaurant
Xia Yun Restaurant Noodles (Renmin Village Community Branch),29.562897,106.552496,,restaurant
Taoyuan Restaurant,29.559479,106.549782,,restaurant
Clari La Western Restaurant,29.564931,106.549439,,restaurant
Yi Zhi Shi Garden Restaurant,29.562546,106.546935,,restaurant
Hong Yu Restaurant,29.558406,106.548331,,restaurant
Chang Ji Restaurant,29.557865,106.549087,,restaurant
Xiao Luo Restaurant (Zaozilan Ya Zhengjie Branch),29.559884,106.555045,,restaurant
Fange Restaurant,29.559945,106.555127,,restaurant
Wolin Restaurant,29.565726,106.554520,,restaurant
Fat Baby Restaurant (Xinganxian Building West),29.551449,106.544652,,restaurant
Yakou Garden Fusion Cuisine Restaurant,29.543821,106.605211,,restaurant
Nan no Oka Yakou Garden Restaurant,29.543645,106.606932,,restaurant
Hidden Jiangnan Garden Restaurant · Nanshan Branch,29.545102,106.607673,,restaurant
Red Chili Restaurant (Jinguiyuan Branch),29.546499,106.596023,,restaurant
Fat Sister Restaurant (Qianqu Road Branch),29.546736,106.595905,,restaurant
My Little Courtyard (Huangjueya Zhengjie Branch),29.538871,106.600802,,restaurant
Or · The Courtyard of Mountains and Poetry Vegetarian Restaurant,29.550238,106.608033,,restaurant
Or · The Courtyard of Mountains and Poetry Vegetarian Restaurant Banquet Hall,29.550452,106.607916,,restaurant
Shanjue Xing Su · Vegetarian Elegant Banquet Restaurant,29.550575,106.607925,,restaurant
Yikangyuan Eco Restaurant,29.492855,106.443384,,restaurant
Jiajia Gathering Restaurant (Huafu Mountain Water Branch),29.494741,106.443631,,restaurant
Fu'anjv Restaurant (Fu'anjv Community Branch),29.495151,106.443675,,restaurant
Horizontal Restaurant (Zhongshan Third Road),29.554097,106.549359,,restaurant
Affordable Restaurant,29.548230,106.548704,,restaurant
Shihui Restaurant (Nanqu Road Branch),29.550969,106.553141,,restaurant
