restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Mama Restaurant (Chengdong Road Branch),Zhengzhou,34.748675,113.691225,15.0,Chinese Restaurant;Chinese Restaurant,17:30,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,4.4
Zhenyu Chuan Banquet Center,Zhengzhou,34.747760,113.691761,100.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,4.7
Henan University Affiliated Zhengzhou First People's Hospital · Nutrition Restaurant,Zhengzhou,34.750370,113.685219,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,3.7
Min Yu Chinese Restaurant (Jin Duo Yin Duo Jewelry Store),Zhengzhou,34.748684,113.681630,90.0,Chinese Restaurant;Fujian Cuisine,10:00,22:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,4.0
Old Wu's Meow Cafe & Cat-themed Restaurant (New World Department Store Branch),Zhengzhou,34.752925,113.682675,28.0,Food Service Related;Food Service Related,09:30,21:30,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,4.3
Henan Provincial Traditional Chinese Medicine Research Institute Affiliated Hospital Restaurant,Zhengzhou,34.755083,113.685722,100.0,Chinese Restaurant;Chinese Restaurant,17:00,19:30,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,3.8
Yutong Retired Staff Restaurant (Yutong Garden Zhengbian Road No. 42 Courtyard Branch),Zhengzhou,34.747100,113.697080,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,3.6
Mama Restaurant,Zhengzhou,34.745025,113.680175,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,3.6
Erguang Restaurant,Zhengzhou,34.757454,113.691651,66.0,Chinese Restaurant;Halal Restaurant,17:30,22:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,4.4
Royal Dining Hall - Medicinal Cuisine Restaurant (Yuxi Building Branch),Zhengzhou,34.747991,113.699877,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Zhengzhou Confucian Temple,"113.688345,34.748659",34.748659,113.688345,3.4
Caifeng Lou Chinese Restaurant (Zhengzhou Dennis Plaza Intercontinental Hotel),Zhengzhou,34.757771,113.665954,227.0,Food Service Related;Food Service Related,17:30,21:30,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.2
Issho Sukiyaki (Dennis · David City Branch),Zhengzhou,34.757768,113.665886,159.0,Foreign Restaurant;Japanese Cuisine,11:00,22:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.6
The Boots Get Holiday (David Plaza Branch),Zhengzhou,34.758578,113.666557,117.0,Foreign Restaurant;Western Restaurant,11:00,22:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.8
Wang Steak (Zhengzhou David Plaza Branch),Zhengzhou,34.757501,113.666208,258.0,Foreign Restaurant;牛扒店(扒房),17:00,21:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.4
Xiangdingsheng Premium Restaurant (David City Branch),Zhengzhou,34.757365,113.665761,61.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.6
Grandma's Kitchen (Dennis David City Branch),Zhengzhou,34.757262,113.666027,136.0,Chinese Restaurant;Chinese Restaurant,11:00,21:30,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.5
De Fu's Indian Restaurant (David Plaza Branch),Zhengzhou,34.756973,113.665911,83.0,Food Service Related;Food Service Related,10:30,21:30,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.6
Manyu (Dennis David City Branch),Zhengzhou,34.756848,113.666241,90.0,服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.7
Highway No. 5 Stone-Grilled Steak Restaurant (David City Branch),Zhengzhou,34.756777,113.666316,128.0,Fast Food Restaurant;Fast Food Restaurant,11:00,22:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,4.7
Zhengzhou Zhengbai Restaurant (Zhengzhou Department Store Branch),Zhengzhou,34.756286,113.668080,100.0,Chinese Restaurant;Chinese Restaurant,09:30,21:00,David Plaza Shopping Center,"113.666031,34.758202",34.758202,113.666031,3.9
Qianxi Cloud Restaurant (Qianxi Plaza Branch),Zhengzhou,34.771075,113.727225,165.0,Chinese Restaurant;Chinese Restaurant,09:00,01:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.5
Zhengzhou Greenland JW Marriott Hotel - Urban Kitchen Buffet Restaurant,Zhengzhou,34.771054,113.727309,280.0,Foreign Restaurant;Western Restaurant,17:30,21:30,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.3
Zhengzhou Greenland JW Marriott Hotel (Marriott Chinese Restaurant),Zhengzhou,34.770905,113.727350,300.0,Chinese Restaurant;Chinese Restaurant,17:30,22:30,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.5
Zhengzhou Big Corn G PLUS Skyview Restaurant,Zhengzhou,34.770914,113.727493,228.0,Chinese Restaurant;General Restaurant,16:00,05:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.2
Zui Baxian Grilled Fish (Qianxi Plaza Branch),Zhengzhou,34.770902,113.727580,62.0,Food Service Related;Food Service Related,10:00,24:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.2
Haiyu Gourmet Seafood Restaurant,Zhengzhou,34.769787,113.726419,39.0,Chinese Restaurant;Seafood Restaurant,17:00,23:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,3.8
No. 5 Restaurant (Henan International Chamber of Commerce Building Branch),Zhengzhou,34.770632,113.719294,18.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.2
Yu Jian Tea Restaurant (Xin'ao Building Branch),Zhengzhou,34.767928,113.723581,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.1
Huayu Sichuan Restaurant (Dennis Seven Worlds Branch),Zhengzhou,34.777780,113.722674,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.7
Dexian Zhijian · Teahouse · Ecological Xinyang Cuisine (CBD Branch),Zhengzhou,34.774628,113.718260,88.0,生活服务;生活服务场所;生活服务场所,11:00,21:00,Ruyi Lake Scenic Area,"113.724204,34.772895",34.772895,113.724204,4.6
Zhang Zhanggui Goose Burger,Zhengzhou,34.870717,113.670712,50.0,Fast Food Restaurant;Fast Food Restaurant,09:30,23:00,Yellow River Museum,"113.677764,34.871840",34.871840,113.677764,4.4
