restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating,tags
Shanxi Beijing Office Restaurant,Beijing,39.927321,116.393306,100.0,Food Service Related;Food Service Related,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,3.9,Outdoor Seating;Birthday Package
Jinfu Hotel Restaurant,Beijing,39.927334,116.393352,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,3.4,Waiting Area;Birthday Package
Eatalia Carpe Diem Italian Restaurant,Beijing,39.933060,116.395723,169.0,Foreign Restaurant;Italian Restaurant,11:00,22:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.5,Outdoor Seating;Private Room
Neighbor's Delight Restaurant,Beijing,39.934005,116.388577,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,3.6,Must-Eat Top 10;Private Room
Long Hong Restaurant,Beijing,39.933970,116.388425,34.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.3,Must-Eat Top 10;Waiting Area
Wangchun Food Pavilion,Beijing,39.927349,116.400152,100.0,Chinese Restaurant;Chinese Restaurant,17:00,20:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.3,Private Room;Online Queue
Ancient Copper Courtyard Copper Pot Hotpot · Halal (Dianmen Branch),Beijing,39.934360,116.396446,85.0,Chinese Restaurant;Halal Restaurant|Chinese Restaurant;Hot Pot,11:00,22:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.7,Private Room;Online Queue
Courtyard (Dianmen Branch),Beijing,39.933384,116.384409,97.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.4,Outdoor Seating
Camellia Girl Yunnan Restaurant (Di'anmen Branch),Beijing,39.935500,116.396060,67.0,Chinese Restaurant;云贵菜,10:00,22:30,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.6,Must-Eat Top 10
Chengdu Beijing Office Restaurant (Shudu Hotel Branch),Beijing,39.925170,116.400666,100.0,Food Service Related;Food Service Related,11:00,21:00,Beihai Park,"116.391802,39.928775",39.928775,116.391802,4.4,Private Room;Birthday Package
Yifeng Restaurant (Gulou Branch),Beijing,39.943748,116.388507,100.0,Chinese Restaurant;Halal Restaurant,05:30,22:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.5,Outdoor Seating;Online Queue
DAddario Italian Restaurant (Houhai Branch),Beijing,39.939364,116.388671,136.0,Foreign Restaurant;Foreign Restaurant,11:30,21:30,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.7,Waiting Area
Mount Everest Restaurant,Beijing,39.945551,116.386140,88.0,Chinese Restaurant;Chinese Restaurant,17:00,20:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.5,Waiting Area
Capital Courtyard Hutong Cuisine Terrace Bistro,Beijing,39.938065,116.379287,82.0,Chinese Restaurant;Chinese Restaurant,11:00,22:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.6,Must-Eat Top 10
Huluwa Beef Tendon Hot Pot (Drum Tower Branch),Beijing,39.946717,116.389982,74.0,Chinese Restaurant;Hot Pot,10:30,22:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.7,Waiting Area;Online Queue
Zhong Restaurant (Gulou West Street Branch),Beijing,39.940920,116.393099,153.0,Foreign Restaurant;Foreign Restaurant,17:00,21:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.5,Online Queue
Dingxiangrun,Beijing,39.947191,116.380111,66.0,Chinese Restaurant;北京菜,11:00,21:30,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.6,Must-Eat Top 10
RAJ Indian Music Restaurant,Beijing,39.940937,116.393636,122.0,Foreign Restaurant;Indian Cuisine,11:00,02:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.7,Outdoor Seating;Birthday Package
Papà Danilo Uncle Danilo·Italian Pasta (Gulou Branch),Beijing,39.942844,116.393822,153.0,Foreign Restaurant;Italian Restaurant,11:00,21:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,4.5,Outdoor Seating;Online Queue
Old Yang Restaurant,Beijing,39.942450,116.376358,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shichahai,"116.385121,39.941893",39.941893,116.385121,3.8,Waiting Area;Online Queue
Wanchun Golden Fortune Afternoon Tea,Beijing,39.921094,116.397019,72.0,Food Service Related;Food Service Related,09:30,16:00,Jingshan Park,"116.396551,39.925875",39.925875,116.396551,4.9,Online Queue
East Courtyard Restaurant of Kunning Palace,Beijing,39.921089,116.397327,100.0,Chinese Restaurant;Chinese Restaurant,08:00,16:30,Jingshan Park,"116.396551,39.925875",39.925875,116.396551,4.4,Private Room;Birthday Package
Beach Restaurant,Beijing,39.925352,116.403318,31.0,Chinese Restaurant;Chinese Restaurant,07:00,22:00,Jingshan Park,"116.396551,39.925875",39.925875,116.396551,4.2,Private Room;Birthday Package
Jingyunmen Forbidden City Restaurant,Beijing,39.918509,116.398455,56.0,Chinese Restaurant;Chinese Restaurant,08:30,15:30,Jingshan Park,"116.396551,39.925875",39.925875,116.396551,3.9,Private Room;Online Queue
Icehouse Restaurant,Beijing,39.917514,116.395284,80.0,Chinese Restaurant;Chinese Restaurant,10:30,15:00,Jingshan Park,"116.396551,39.925875",39.925875,116.396551,3.9,Outdoor Seating;Birthday Package
Beijing Olympic Tower Sky Restaurant,Beijing,40.007949,116.394113,485.0,Chinese Restaurant;Chinese Restaurant,11:00,21:30,Beijing Olympic Park,"116.393096,40.009926",40.009926,116.393096,4.3,Online Queue
Brauhaus Happy Family Restaurant,Beijing,40.012851,116.394914,199.0,Chinese Restaurant;Chinese Restaurant,10:00,20:00,Beijing Olympic Park,"116.393096,40.009926",40.009926,116.393096,4.1,Must-Eat Top 10;Outdoor Seating
