restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Sumangxiang Vegetarian Buffet Restaurant (Suzhou Guanqian Street Branch),Suzhou,31.310412,120.625730,100.0,Chinese Restaurant;Chinese Restaurant,17:00,19:30,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.6
Deyuelou (Guanqian Branch),Suzhou,31.310410,120.625388,120.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.3
Pearl Hotel,Suzhou,31.309900,120.625823,100.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.5
Xianqi Half-Step Tipsy Tavern (Guanqian Street Branch),Suzhou,31.309922,120.625108,76.0,Chinese Restaurant;Sichuan Cuisine,16:30,22:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.4
Podian Bistro (Guanqian Branch),Suzhou,31.309360,120.626841,100.0,Chinese Restaurant;Sichuan Cuisine,10:00,22:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.3
Huixianglou Halal Restaurant,Suzhou,31.309343,120.624264,74.0,Chinese Restaurant;Halal Restaurant,10:00,22:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.1
Dongwu Sujinji (Gongxiang Branch),Suzhou,31.308622,120.626670,15.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.6
Tianshan Impression Restaurant,Suzhou,31.312575,120.627284,44.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.1
Li Baixie · Crab Roe (Guanqian Street Branch),Suzhou,31.310294,120.628397,84.0,Chinese Restaurant;Chinese Restaurant,10:30,21:30,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.6
Those Years We Ate Skewers Together (Guanqian Branch),Suzhou,31.308799,120.623973,68.0,Chinese Restaurant;Chinese Restaurant,16:30,03:00,Songhe Tower (Guanqian Branch),"120.625678,31.310677",31.310677,120.625678,4.5
Saizeriya Italian Restaurant (Suzhou Guanqian Street Branch),Suzhou,31.310619,120.622635,100.0,Foreign Restaurant;Italian Restaurant,10:00,21:30,Yi Garden,"120.621266,31.307521",31.307521,120.621266,4.6
Orange Bird Light Meal Restaurant,Suzhou,31.304606,120.624018,100.0,Foreign Restaurant;Foreign Restaurant,11:00,21:00,Yi Garden,"120.621266,31.307521",31.307521,120.621266,3.5
Wyndham Garden Hotel - Dingfengge Chinese Restaurant,Suzhou,31.307645,120.625715,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Yi Garden,"120.621266,31.307521",31.307521,120.621266,3.8
