restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Old Wang's Ancient City Restaurant,Chengdu,30.997217,103.616294,42.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,3.7
Qiaotou Restaurant,Chengdu,30.997252,103.616310,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,3.8
Happiness Restaurant,Chengdu,30.997876,103.617940,56.0,Chinese Restaurant;Chinese Restaurant,09:00,20:30,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.0
Dujiangyan Junshou Mansion Restaurant,Chengdu,30.994976,103.621147,102.0,Chinese Restaurant;Sichuan Cuisine,09:00,22:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.4
Chunrong Restaurant (Yuanmou Country Garden Branch),Chengdu,30.992175,103.620509,100.0,Chinese Restaurant;Chinese Restaurant,07:00,22:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,3.9
Haoke Steak (Dujiangyan Xuanhua Gate Restaurant),Chengdu,30.996065,103.622804,68.0,Foreign Restaurant;Western Restaurant,10:00,22:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.5
Hong Kong Ice Room Hong Kong-Style Restaurant (Tianhe Shengdian Branch),Chengdu,30.998295,103.622448,39.0,Chinese Restaurant;Chinese Restaurant,10:00,20:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.3
Halal · August Fire Restaurant,Chengdu,30.992631,103.621756,100.0,Chinese Restaurant;Halal Restaurant,10:00,23:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.0
Shuiying Tiankong Vegetarian Restaurant (China · Dujiangyan · Shuijie · Shuijie Branch),Chengdu,30.992653,103.622990,33.0,Chinese Restaurant;Chinese Restaurant,08:00,21:00,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.6
Mars Meow Western Restaurant (Baiguo Alley Archway Branch),Chengdu,31.000353,103.623375,68.0,Foreign Restaurant;Foreign Restaurant,10:00,21:30,Nan Bridge,"103.615948,30.996316",30.996316,103.615948,4.7
N Degree 8 Music Restaurant & Bar,Chengdu,30.654866,104.043991,90.0,Chinese Restaurant;Chinese Restaurant,16:00,02:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.3
Sichuan Academy of Social Sciences Zijin Restaurant,Chengdu,30.653328,104.044438,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,3.6
Bu Er Hidden Lodge (Baihua Branch),Chengdu,30.655162,104.040142,239.0,Food Service Related;Food Service Related|购物相关场所;购物相关场所,10:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.6
Millennium Grand Hotel Restaurant,Chengdu,30.651466,104.041438,137.0,Food Service Related;Food Service Related,07:00,21:30,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.2
Huali Restaurant (Jinli West Road Branch),Chengdu,30.655864,104.046463,48.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.4
Perry Hotel Restaurant,Chengdu,30.658691,104.040627,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.1
Qintai Covered Bridge,Chengdu,30.659293,104.045525,100.0,Chinese Restaurant;Sichuan Cuisine,11:00,22:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.4
Kathmandu Restaurant,Chengdu,30.658406,104.036686,100.0,Foreign Restaurant;Foreign Restaurant,11:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,3.9
Taste Four Seasons Garden Restaurant (Qintai Ancient Path Branch),Chengdu,30.660869,104.046495,84.0,Chinese Restaurant;Sichuan Cuisine,17:00,21:00,Shu Feng Ya Yun Sichuan Opera Theater,"104.043000,30.654000",30.654000,104.043000,4.2
Qintai · Danglu Private Cuisine Restaurant,Chengdu,30.662962,104.045269,138.0,Chinese Restaurant;Chinese Restaurant,11:30,20:30,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,4.6
Chuanxing Yinli Hotel (Chengdu Kuanzhai Alley Branch) · Garden Restaurant,Chengdu,30.664007,104.045280,100.0,Food Service Related;Food Service Related,11:00,21:00,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,3.7
Floral Stay · Chengdu Qintai Boutique Kuanzhai Alley Branch · Restaurant,Chengdu,30.662080,104.046638,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,4.0
Lao Xia Old Hotpot (Xi'an South Road Main Branch),Chengdu,30.664966,104.046621,65.0,Chinese Restaurant;Hot Pot,11:00,21:00,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,4.4
Hilton Garden Inn · Restaurant,Chengdu,30.665239,104.046543,100.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,3.7
Shuxinyuan Five-Color Beef Hot Pot (Zaoxinyuan Branch),Chengdu,30.666394,104.046781,78.0,Chinese Restaurant;Hot Pot,10:30,21:30,Qingyang Palace,"104.042609,30.661542",30.661542,104.042609,4.5
Ueno Sakura Japanese Fine Dining (Jinyang Road Branch),Chengdu,30.677229,104.010887,81.0,家居建材市场;厨卫市场,11:00,21:00,Jinsha Site Museum,"104.012634,30.681709",30.681709,104.012634,4.6
