origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,train_no,train_type,seat_class,seat_status,price,segment_index,route_index
Hefei,Guangzhou,2025-11-12,ENH,Hefei South Station,GGQ,Guangzhou East Station,2025-11-12 06:55:00,2025-11-12 13:53:00,418,G3069,High-Speed Train,Second Class Seat,Sufficient,663.5,1,26
Hefei,Guangzhou,2025-11-12,HFH,Hefei Station,WHN,Wuhan Station,2025-11-12 08:15:00,2025-11-12 10:33:00,138,G1741,High-Speed Train,Second Class Seat,Sufficient,645.0,1,25
Hefei,Guangzhou,2025-11-12,WHN,Wuhan Station,IZQ,Guangzhou South Station,2025-11-12 11:11:00,2025-11-12 14:44:00,213,G547,High-Speed Train,Second Class Seat,Sufficient,645.0,2,25
Hefei,Guangzhou,2025-11-12,ENH,Hefei South Station,WHN,Wuhan Station,2025-11-12 09:34:00,2025-11-12 11:39:00,125,G1545,High-Speed Train,Second Class Seat,Sufficient,588.0,1,3
Hefei,Guangzhou,2025-11-12,WHN,Wuhan Station,GBA,Guangzhou Baiyun Station,2025-11-12 12:02:00,2025-11-12 15:31:00,209,G795,High-Speed Train,Second Class Seat,Sufficient,588.0,2,3
Hefei,Guangzhou,2025-11-12,ENH,Hefei South Station,XWQ,Guangzhou Xintang Station,2025-11-12 06:55:00,2025-11-12 13:29:00,394,G3069,High-Speed Train,Second Class Seat,Sufficient,632.5,1,9
Hefei,Guangzhou,2025-11-12,HFH,Hefei Station,CWQ,Changsha South Station,2025-11-12 16:41:00,2025-11-12 20:44:00,243,G1747,High-Speed Train,Second Class Seat,Sufficient,576.0,1,11
Hefei,Guangzhou,2025-11-12,CWQ,Changsha South Station,GBA,Guangzhou Baiyun Station,2025-11-12 21:30:00,2025-11-12 23:31:00,121,G6141,High-Speed Train,Second Class Seat,Sufficient,576.0,2,11
Hefei,Guangzhou,2025-11-12,ENH,Hefei South Station,JIG,Ji'an West Station,2025-11-12 15:59:00,2025-11-12 19:30:00,211,G3083,High-Speed Train,Second Class Seat,Sufficient,599.5,1,23
Hefei,Guangzhou,2025-11-12,JIG,Ji'an West Station,GGQ,Guangzhou East Station,2025-11-12 19:49:00,2025-11-12 23:00:00,191,G3085,High-Speed Train,Second Class Seat,Sufficient,599.5,2,23
